                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3986,                 5.0689,                 1.2606,                0.78463,                0.72998,                0.72181,                0.46715,                 1.1415,                 3.9574,                 1.1611,             0.00064912,             0.00064912,             0.00064912
                      2,                 1.0864,                 1.0491,                 1.1105,                 0.6588,                0.71837,                0.64598,                0.39898,                 1.3794,                 4.0554,                 1.6416,              0.0012897,              0.0012897,              0.0012897
                      3,                 1.1873,                 1.0014,                 1.1564,                 0.0005,                0.13972,                0.00029,                0.00015,                 3.4121,                    inf,                 22.128,               0.001904,               0.001904,               0.001904
                      4,                  1.144,                0.89007,                 1.1537,                0.01343,                0.64915,                0.01205,                0.00813,                 1.1197,                   56.9,                 1.7277,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0737,                0.80598,                  1.116,                0.78647,                0.83839,                0.86586,                0.59325,                 1.0917,                 1.2731,                 1.3036,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.0399,                 0.7609,                 1.0818,                 0.9528,                0.91837,                0.95331,                0.70277,                0.95747,                0.80744,                 1.1281,               0.001802,               0.001802,               0.001802
                      7,                 0.9887,                0.70976,                 1.0504,                0.91363,                0.86348,                0.92875,                0.65851,                0.99205,                0.70657,                 1.1363,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.0005,                0.69676,                 1.0696,                0.96256,                0.89796,                0.94706,                0.72451,                0.86095,                0.65217,                 1.0442,              0.0017228,              0.0017228,              0.0017228
                      9,                0.98536,                0.69018,                  1.085,                0.94781,                 0.9124,                0.94392,                0.70232,                0.90983,                0.65453,                 1.0445,              0.0016832,              0.0016832,              0.0016832
                     10,                0.91668,                0.63791,                 1.0287,                0.95165,                0.90738,                0.95246,                0.73945,                0.86373,                0.60169,                 1.0623,              0.0016436,              0.0016436,              0.0016436
                     11,                0.95579,                0.63893,                 1.0546,                0.98823,                0.90581,                0.94836,                0.71658,                0.87921,                0.68299,                 1.0428,               0.001604,               0.001604,               0.001604
                     12,                0.93373,                0.64165,                  1.031,                0.97959,                0.90738,                0.96404,                0.75185,                0.79973,                0.56744,                 1.0216,              0.0015644,              0.0015644,              0.0015644
                     13,                0.89098,                0.61601,                 1.0241,                0.96421,                0.93407,                0.96888,                0.77487,                0.74525,                0.53786,                 0.9937,              0.0015248,              0.0015248,              0.0015248
                     14,                0.88029,                0.59424,                 1.0229,                0.97226,                0.93547,                0.97387,                0.76523,                0.77709,                 0.5326,                0.98865,              0.0014852,              0.0014852,              0.0014852
                     15,                0.85888,                0.57247,                 1.0032,                0.98024,                0.93431,                0.96699,                0.77639,                0.75587,                0.52207,                0.97927,              0.0014456,              0.0014456,              0.0014456
                     16,                0.83839,                0.57007,                 1.0035,                0.98641,                0.93721,                0.97596,                0.77958,                0.74808,                0.48422,                0.97395,               0.001406,               0.001406,               0.001406
                     17,                0.86822,                0.55215,                 1.0136,                0.98738,                0.93407,                0.97914,                0.75228,                0.83925,                0.52062,                 1.0299,              0.0013664,              0.0013664,              0.0013664
